InvoiceNo,CustomerID,Gender,Age,Location,Category,ItemName,Quantity,UnitPrice,PaymentMethod,InvoiceDate,ReviewRating,SubscriptionStatus,DiscountApplied,TotalRevenue
INV60705,C11168,Male,63,Texas,Home & Kitchen,Toaster,5,33.91,PayPal,2024-01-01 09:57:38,2.6,No,No,169.55
INV61392,C10958,Male,59,Washington,Books,Tech Guide,1,50.88,Credit Card,2024-01-01 10:08:18,3.9,No,No,50.88
INV60995,C10166,Male,19,Texas,Beauty & Personal Care,Hair Dryer,1,44.11,Cash,2024-01-01 10:13:47,3.8,No,No,44.11
INV63736,C10950,Male,24,New York,Beauty & Personal Care,Skincare Kit,4,57.05,Credit Card,2024-01-01 10:25:41,3.7,No,No,228.2
INV57952,C10719,Female,19,Massachusetts,Electronics,Laptop,2,1051.98,Credit Card,2024-01-01 11:01:45,3.9,No,Yes,2103.96
INV57154,C10211,Non-Binary,34,California,Sports & Outdoors,Camping Tent,2,145.02,Cash,2024-01-01 14:43:09,3.7,Yes,Yes,290.04
INV58568,C11138,Female,60,Florida,Sports & Outdoors,Running Shoes,2,95.37,PayPal,2024-01-01 15:15:52,2.7,No,No,190.74
INV59984,C10377,Male,25,California,Books,Tech Guide,2,48.85,Debit Card,2024-01-01 15:50:02,3.7,No,No,97.7
INV62247,C10196,Female,39,New York,Clothing,Jeans,3,57.15,Cash,2024-01-01 16:12:04,3.5,No,No,171.45
INV52241,C10707,Non-Binary,38,Georgia,Sports & Outdoors,Backpack,3,41.0,Debit Card,2024-01-01 16:58:42,4.9,Yes,No,123.0
INV58235,C10474,Female,54,New York,Clothing,T-Shirt,2,26.16,Credit Card,2024-01-01 17:44:21,4.8,Yes,Yes,52.32
INV60250,C10143,Male,52,Colorado,Electronics,Bluetooth Speaker,1,81.61,Debit Card,2024-01-01 20:15:09,3.6,No,No,81.61
INV55411,C10650,Female,57,Illinois,Home & Kitchen,Blender,2,44.85,Credit Card,2024-01-01 21:15:19,3.9,Yes,No,89.7
INV53445,C10234,Female,24,Washington,Clothing,T-Shirt,1,24.88,Cash,2024-01-01 21:18:04,2.6,No,No,24.88
INV53364,C10552,Male,67,Illinois,Books,Biography,3,22.99,Credit Card,2024-01-01 21:18:23,2.8,No,No,68.97
INV63572,C10354,Female,71,California,Books,Tech Guide,1,51.84,Cash,2024-01-01 21:32:11,2.9,No,No,51.84
INV57444,C11093,Male,33,Colorado,Home & Kitchen,Toaster,1,33.82,Credit Card,2024-01-02 09:38:38,4.8,Yes,No,33.82
INV58369,C10028,Female,56,California,Books,Sci-Fi Anthology,1,18.5,Debit Card,2024-01-02 11:56:54,3.9,Yes,No,18.5
INV60132,C10824,Female,25,New York,Electronics,Headphones,2,144.62,Debit Card,2024-01-02 12:30:46,4.6,No,No,289.24
INV62119,C10580,Female,24,Florida,Electronics,Smartphone,1,708.7,Cash,2024-01-02 12:34:35,2.7,No,No,708.7
INV60847,C10325,Male,22,Texas,Electronics,Headphones,1,150.21,Credit Card,2024-01-02 12:55:40,2.7,No,No,150.21
INV64615,C10095,Male,28,New York,Home & Kitchen,Dinnerware Set,1,61.72,PayPal,2024-01-02 13:24:49,3.9,No,No,61.72
