InvoiceNo,CustomerID,Gender,Age,Location,Category,ItemName,Quantity,UnitPrice,PaymentMethod,InvoiceDate,ReviewRating,SubscriptionStatus,DiscountApplied
INV60705,C11168,Male,63,Texas,Home & Kitchen,Toaster,5,33.91,PayPal,2024-01-01 09:57:38,2.6,No,No
INV61392,C10958,Male,59,Washington,Books,Tech Guide,1,50.88,Credit Card,2024-01-01 10:08:18,3.9,No,No
INV60995,C10166,Male,19,Texas,Beauty & Personal Care,Hair Dryer,1,44.11,Cash,2024-01-01 10:13:47,3.8,No,No
INV63736,C10950,Male,24,New York,Beauty & Personal Care,Skincare Kit,4,57.05,Credit Card,2024-01-01 10:25:41,3.7,No,No
INV57952,C10719,Female,19,Massachusetts,Electronics,Laptop,2,1051.98,Credit Card,2024-01-01 11:01:45,3.9,No,Yes
INV57154,C10211,Non-Binary,34,California,Sports & Outdoors,Camping Tent,2,145.02,Cash,2024-01-01 14:43:09,3.7,Yes,Yes
INV58568,C11138,Female,60,Florida,Sports & Outdoors,Running Shoes,2,95.37,PayPal,2024-01-01 15:15:52,2.7,No,No
INV59984,C10377,Male,25,California,Books,Tech Guide,2,48.85,Debit Card,2024-01-01 15:50:02,3.7,No,No
INV62247,C10196,Female,39,New York,Clothing,Jeans,3,57.15,Cash,2024-01-01 16:12:04,3.5,No,No
INV52241,C10707,Non-Binary,38,Georgia,Sports & Outdoors,Backpack,3,41.0,Debit Card,2024-01-01 16:58:42,4.9,Yes,No
INV58235,C10474,Female,54,New York,Clothing,T-Shirt,2,26.16,Credit Card,2024-01-01 17:44:21,4.8,Yes,Yes
INV60250,C10143,Male,52,Colorado,Electronics,Bluetooth Speaker,1,81.61,Debit Card,2024-01-01 20:15:09,3.6,No,No
INV55411,C10650,Female,57,Illinois,Home & Kitchen,Blender,2,44.85,Credit Card,2024-01-01 21:15:19,3.9,Yes,No
INV53445,C10234,Female,24,Washington,Clothing,T-Shirt,1,24.88,Cash,2024-01-01 21:18:04,2.6,No,No
INV53364,C10552,Male,67,Illinois,Books,Biography,3,22.99,Credit Card,2024-01-01 21:18:23,2.8,No,No
INV63572,C10354,Female,71,California,Books,Tech Guide,1,51.84,Cash,2024-01-01 21:32:11,2.9,No,No
INV57444,C11093,Male,33,Colorado,Home & Kitchen,Toaster,1,33.82,Credit Card,2024-01-02 09:38:38,4.8,Yes,No
INV58369,C10028,Female,56,California,Books,Sci-Fi Anthology,1,18.5,Debit Card,2024-01-02 11:56:54,3.9,Yes,No
INV60132,C10824,Female,25,New York,Electronics,Headphones,2,144.62,Debit Card,2024-01-02 12:30:46,4.6,No,No
INV62119,C10580,Female,24,Florida,Electronics,Smartphone,1,708.7,Cash,2024-01-02 12:34:35,2.7,No,No
INV60847,C10325,Male,22,Texas,Electronics,Headphones,1,150.21,Credit Card,2024-01-02 12:55:40,2.7,No,No
INV64615,C10095,Male,28,New York,Home & Kitchen,Dinnerware Set,1,61.72,PayPal,2024-01-02 13:24:49,3.9,No,No
INV58049,C10293,Male,32,Florida,Beauty & Personal Care,Lipstick,4,19.26,Cash,2024-01-02 13:49:49,4.9,Yes,No
INV57497,C10262,Female,29,California,Electronics,Laptop,1,1081.4,Credit Card,2024-01-02 15:46:13,3.5,No,No
INV51207,C11029,Male,35,California,Sports & Outdoors,Water Bottle,1,19.34,Credit Card,2024-01-02 18:35:01,2.6,Yes,No
INV60424,C10778,Male,46,Texas,Beauty & Personal Care,Moisturizer,1,28.27,Credit Card,2024-01-02 20:23:26,4.6,No,No
INV64958,C11150,Female,19,California,Clothing,Jeans,1,57.47,PayPal,2024-01-02 21:04:46,4.6,Yes,No
INV62187,C10482,Male,23,Colorado,Electronics,Tablet,2,338.62,Credit Card,2024-01-03 09:49:53,3.7,No,No
INV56886,C10798,Male,24,New York,Electronics,Smartwatch,1,206.46,Cash,2024-01-03 10:03:33,4.7,Yes,No
INV58572,C10627,Male,49,Texas,Beauty & Personal Care,Hair Dryer,1,45.2,Credit Card,2024-01-03 10:06:09,3.6,No,No
INV55014,C10210,Non-Binary,34,Texas,Beauty & Personal Care,Perfume,2,76.29,Credit Card,2024-01-03 10:10:06,3.7,No,No
INV59524,C10735,Male,59,Texas,Books,Fiction Novel,1,14.67,Credit Card,2024-01-03 13:17:36,3.8,No,No
INV52196,C11190,Male,74,Florida,Beauty & Personal Care,Skincare Kit,1,60.82,PayPal,2024-01-03 13:33:03,4.8,Yes,No
INV63726,C10780,Male,50,Colorado,Sports & Outdoors,Dumbbell Set,2,51.02,Debit Card,2024-01-03 13:56:40,3.7,No,No
INV53797,C10734,Male,44,California,Books,Fiction Novel,1,14.31,PayPal,2024-01-03 14:48:14,1.9,No,No
INV64201,C10826,Male,68,Ohio,Home & Kitchen,Coffee Maker,2,89.61,Credit Card,2024-01-03 15:11:33,4.6,No,No
INV51372,C10727,Female,55,Ohio,Sports & Outdoors,Water Bottle,3,19.45,Credit Card,2024-01-03 15:15:06,2.9,No,No
INV55498,C11000,Male,28,California,Books,Biography,1,21.98,Credit Card,2024-01-03 16:15:15,3.5,Yes,Yes
INV53765,C11027,Male,21,New York,Clothing,Socks,1,9.57,Credit Card,2024-01-03 16:28:24,3.9,No,Yes
INV62518,C10423,Female,19,California,Electronics,Tablet,1,332.79,Credit Card,2024-01-03 16:33:00,4.0,No,No
INV64413,C11159,Female,40,New York,Clothing,Hoodie,2,46.87,PayPal,2024-01-03 17:30:00,3.9,No,No
INV54752,C11177,Female,44,California,Electronics,Smartwatch,1,189.76,Debit Card,2024-01-03 19:55:06,3.7,No,Yes
INV63584,C10660,Female,49,Florida,Clothing,Jacket,1,117.9,Credit Card,2024-01-03 21:00:29,2.8,Yes,Yes
INV61341,C10256,Female,33,Florida,Sports & Outdoors,Water Bottle,1,19.07,Credit Card,2024-01-03 21:09:10,3.8,No,No
INV51725,C10111,Female,18,Illinois,Electronics,Tablet,2,314.65,Debit Card,2024-01-03 21:14:26,4.8,Yes,No
INV56425,C10695,Male,59,Texas,Books,Biography,1,21.82,PayPal,2024-01-04 09:06:06,4.9,Yes,Yes
INV55061,C10272,Female,36,Massachusetts,Beauty & Personal Care,Hair Dryer,3,46.64,Credit Card,2024-01-04 10:09:23,3.8,Yes,No
INV53247,C10149,Male,47,Texas,Sports & Outdoors,Camping Tent,1,155.26,Credit Card,2024-01-04 11:03:26,4.9,No,No
INV51710,C10015,Male,34,California,Sports & Outdoors,Running Shoes,3,96.41,Cash,2024-01-04 12:16:21,1.6,No,No
INV57613,C10741,Female,42,California,Beauty & Personal Care,Skincare Kit,2,60.51,Debit Card,2024-01-04 12:23:28,4.8,No,No
INV54191,C10165,Female,34,New York,Beauty & Personal Care,Perfume,1,72.92,Debit Card,2024-01-04 12:49:30,4.8,Yes,Yes
INV57971,C11079,Male,36,California,Home & Kitchen,Vacuum Cleaner,1,151.6,Cash,2024-01-04 14:54:43,4.9,No,No
INV62122,C10881,Female,23,Washington,Sports & Outdoors,Camping Tent,1,149.66,Credit Card,2024-01-04 15:08:29,2.6,No,No
INV57440,C10565,Male,33,Texas,Clothing,Socks,1,9.91,Credit Card,2024-01-04 15:50:09,4.5,No,No
INV59474,C10346,Female,49,Illinois,Clothing,Socks,5,9.72,Debit Card,2024-01-04 16:54:14,4.8,No,No
INV57218,C11042,Male,41,Florida,Home & Kitchen,Air Fryer,1,119.47,Cash,2024-01-04 20:44:29,1.9,No,No
INV61624,C10477,Male,42,Massachusetts,Sports & Outdoors,Dumbbell Set,2,50.3,PayPal,2024-01-04 21:25:53,4.7,Yes,Yes
INV64196,C10947,Female,19,New York,Sports & Outdoors,Backpack,1,39.51,PayPal,2024-01-05 09:06:07,4.9,Yes,No
INV58913,C10108,Male,23,New York,Electronics,Tablet,1,326.87,PayPal,2024-01-05 09:50:24,4.5,Yes,Yes
INV55742,C10335,Female,47,Texas,Books,Cookbook,2,29.66,Credit Card,2024-01-05 09:52:12,1.7,No,No
INV58104,C10652,Female,23,Georgia,Electronics,Smartphone,1,685.24,Debit Card,2024-01-05 10:24:04,3.7,No,No
INV62204,C10895,Male,44,California,Clothing,T-Shirt,1,24.39,Debit Card,2024-01-05 10:53:12,4.8,No,No
INV62544,C10707,Non-Binary,38,Georgia,Books,Cookbook,2,30.67,PayPal,2024-01-05 11:07:49,4.9,Yes,Yes
INV55849,C10298,Male,71,California,Books,Fiction Novel,1,14.87,Credit Card,2024-01-05 12:02:52,4.9,No,No
INV56525,C10640,Female,19,New York,Electronics,Smartphone,3,718.92,PayPal,2024-01-05 12:20:55,4.7,No,No
INV51828,C10539,Female,26,New York,Books,Fiction Novel,4,14.71,PayPal,2024-01-05 12:28:18,4.9,No,Yes
INV63678,C10807,Male,37,New York,Beauty & Personal Care,Hair Dryer,1,46.88,Credit Card,2024-01-05 13:12:16,4.9,Yes,Yes
INV59974,C10998,Male,21,Texas,Electronics,Bluetooth Speaker,1,79.72,Credit Card,2024-01-05 13:26:56,2.9,No,No
INV63373,C10526,Female,37,California,Beauty & Personal Care,Moisturizer,1,26.79,Credit Card,2024-01-05 13:37:16,2.7,Yes,Yes
INV56055,C10002,Female,40,Florida,Beauty & Personal Care,Moisturizer,1,26.65,Cash,2024-01-05 13:47:22,4.7,Yes,Yes
INV62233,C10215,Male,37,New York,Clothing,Sneakers,1,86.8,Cash,2024-01-05 14:20:04,2.9,No,No
INV55899,C10478,Male,20,Washington,Clothing,Hoodie,1,47.09,Debit Card,2024-01-05 14:23:29,4.6,No,No
